CoachName,CountryID,DisciplineID,CoachID
MOHAMED Sayeda,18,16,253
MOHAMMED Silifat,44,4,254
MONDELO GARCIA Lucas,2,4,255
MONTICO Loredana,10,12,256
MORIYASU Hajime,24,16,257
MOTOMIYA Makihiro,24,31,258
MULATI Adilijiang,71,4,259
MUNOZ Noe de Jesus,46,10,260
MWAPE Bruce,136,16,261
NAGAE Shoji,24,36,262
NAIDOO Taren,36,26,263
NAKADA Kumi,24,36,264
NAKAGAICHI Yuichi,24,36,265
NCUBE Mthandazo,36,16,266
NEVES Christophe,69,16,267
NISHIDA Takumi,24,35,268
NOTOANE David,36,16,269
OCA GAIA Miguel Angel,2,31,270
ODAUDU Ogoh,44,4,271
OLOO Felix,63,35,272
OMOTO Yoji,24,31,273
PAGAN CRISTOBAL Angel,58,4,274
PALERMI Giovanna,3,10,275
PANTOJA Hernan,103,36,276
PARADELO David,26,31,277
PARRONDO Roberto,13,5,278
PAUL Henry,26,35,279
PECCI Isabella,107,12,280
PEDRERO Ofelia,46,12,281
PEREIRA Paulo Jorge,39,5,282
PEREZ Jose,103,4,283
PIBIRI Rossella,3,12,284
PISKAREVA Ekaterina,32,12,285
PIZZOLINI Federico,3,10,286
POPOVICH Gregg,11,4,287
POROBIC Petar,71,31,288
POTTER Anthony,10,26,289
POWELL Katrina,10,26,290
POWELL Neil,36,35,291
PRADO BRANAS Joaquin,2,4,292
PRIESTMAN Bev,26,16,293
RADOI Mirel,49,16,294
RECKINGER Xavier,19,26,295
REID Graham John,42,26,296
REQUENA PERICAS Judit,2,12,297
RETEGUI Carlos Jose,84,26,298
RIBERA ROMANS Jordi,2,5,299
RIISE Hege,55,16,300
RILLIE John,10,4,301
RIPOLL Sylvain,4,16,302
RODRIGUEZ Eduardo Rafael,84,36,303
ROEDL Henrik,19,4,304
ROQUES Anthony,55,35,305
SACCHETTI Romeo,3,4,306
SALAM Mohamed,13,16,307
SAMMELVUO Tuomas,32,36,308
SARTI Ronald,103,36,309
SAVIC Dejan,85,31,310
SAVIC Maja,120,5,311
SCARIOLO Sergio,2,4,312
